iter	Passed	Remaining
0	130	130590
1	135	67852
2	141	46949
3	142	35411
4	142	28373
5	144	24000
6	147	20862
7	148	18356
8	149	16444
9	150	14878
10	150	13546
11	152	12540
12	153	11678
13	155	10954
14	156	10275
15	156	9650
16	158	9145
17	158	8670
18	159	8250
19	160	7876
20	161	7536
21	162	7225
22	163	6943
23	163	6668
24	164	6432
25	165	6211
26	166	5984
27	166	5777
28	166	5585
29	167	5412
30	167	5250
31	168	5101
32	168	4951
33	169	4816
34	169	4683
35	170	4562
36	170	4447
37	171	4335
38	171	4230
39	172	4130
40	172	4032
41	172	3937
42	173	3850
43	173	3768
44	173	3688
45	174	3609
46	174	3532
47	174	3462
48	174	3393
49	175	3329
50	175	3264
51	175	3202
52	175	3142
53	176	3087
54	176	3031
55	176	2979
56	177	2929
57	177	2880
58	177	2833
59	177	2788
60	178	2743
61	178	2700
62	178	2659
63	179	2618
64	179	2579
65	179	2542
66	179	2505
67	180	2467
68	180	2431
69	180	2397
70	180	2366
71	181	2333
72	181	2303
73	181	2273
74	181	2243
75	182	2214
76	182	2186
77	182	2159
78	182	2132
79	183	2107
80	183	2082
81	183	2058
82	184	2033
83	184	2010
84	184	1987
85	184	1965
86	185	1943
87	185	1921
88	185	1901
89	186	1880
90	186	1860
91	186	1841
92	186	1821
93	186	1802
94	187	1783
95	187	1765
96	187	1748
97	188	1731
98	188	1714
99	188	1698
100	188	1682
101	189	1666
102	189	1650
103	189	1635
104	190	1619
105	190	1605
106	190	1590
107	190	1576
108	191	1561
109	191	1548
110	191	1534
111	191	1521
112	192	1507
113	192	1494
114	192	1482
115	192	1469
116	193	1457
117	193	1445
118	193	1433
119	193	1422
120	194	1411
121	194	1399
122	194	1388
123	194	1377
124	195	1366
125	195	1355
126	195	1344
127	195	1334
128	196	1324
129	196	1314
130	196	1304
131	196	1295
132	197	1285
133	197	1275
134	197	1266
135	197	1257
136	198	1248
137	198	1239
138	198	1230
139	198	1222
140	199	1213
141	199	1205
142	199	1197
143	200	1189
144	200	1182
145	201	1177
146	201	1171
147	202	1163
148	202	1157
149	202	1150
150	203	1143
151	203	1136
152	204	1129
153	204	1122
154	204	1116
155	205	1110
156	205	1103
157	205	1096
158	205	1089
159	206	1083
160	206	1077
161	207	1071
162	207	1065
163	207	1059
164	208	1053
165	208	1047
166	208	1041
167	209	1035
168	209	1029
169	209	1023
170	210	1018
171	210	1012
172	210	1007
173	211	1002
174	211	997
175	211	992
176	212	987
177	212	981
178	212	976
179	213	972
180	213	966
181	214	962
182	214	957
183	214	952
184	215	947
185	215	942
186	215	938
187	216	933
188	216	928
189	216	923
190	216	918
191	217	913
192	217	908
193	217	904
194	218	900
195	218	895
196	218	891
197	218	886
198	219	882
199	219	878
200	219	873
201	220	869
202	220	865
203	220	860
204	220	856
205	221	852
206	221	848
207	221	844
208	221	840
209	222	836
210	222	832
211	222	828
212	222	823
213	223	819
214	223	815
215	223	812
216	223	808
217	224	804
218	224	800
219	224	796
220	225	793
221	225	789
222	225	786
223	225	782
224	226	779
225	226	775
226	226	772
227	227	768
228	227	765
229	227	762
230	227	758
231	228	755
232	228	752
233	228	748
234	228	745
235	229	741
236	229	738
237	229	735
238	229	732
239	230	728
240	230	725
241	230	722
242	230	719
243	231	716
244	231	713
245	231	709
246	231	706
247	232	703
248	232	700
249	232	697
250	232	694
251	233	691
252	233	688
253	233	685
254	233	682
255	234	680
256	234	677
257	234	674
258	234	671
259	235	668
260	235	666
261	235	663
262	235	660
263	235	657
264	236	655
265	236	652
266	236	650
267	237	647
268	237	644
269	237	642
270	237	639
271	237	636
272	238	634
273	238	631
274	238	629
275	239	627
276	239	625
277	239	622
278	240	620
279	240	617
280	240	615
281	240	613
282	241	610
283	241	608
284	241	606
285	241	603
286	242	601
287	242	599
288	242	597
289	242	594
290	243	592
291	243	590
292	243	588
293	244	585
294	244	583
295	244	581
296	244	579
297	245	577
298	245	575
299	245	573
300	245	571
301	246	569
302	246	567
303	246	565
304	247	563
305	247	561
306	247	559
307	247	556
308	248	554
309	248	553
310	248	551
311	249	549
312	249	547
313	249	545
314	249	543
315	250	541
316	250	539
317	250	537
318	251	536
319	251	534
320	251	532
321	252	530
322	252	528
323	252	526
324	252	525
325	253	523
326	253	521
327	253	519
328	254	518
329	254	516
330	254	514
331	254	513
332	255	511
333	255	509
334	255	507
335	256	506
336	256	504
337	256	502
338	256	500
339	257	499
340	257	497
341	257	495
342	257	494
343	258	492
344	258	490
345	258	489
346	259	487
347	259	485
348	259	484
349	259	482
350	260	480
351	260	479
352	260	477
353	260	476
354	261	474
355	261	472
356	261	471
357	261	469
358	262	468
359	262	466
360	262	465
361	263	463
362	263	462
363	263	460
364	263	459
365	264	457
366	264	456
367	264	454
368	265	453
369	265	451
370	265	450
371	265	448
372	266	447
373	266	445
374	266	444
375	267	443
376	267	441
377	267	440
378	267	438
379	268	437
380	268	435
381	268	434
382	268	433
383	269	431
384	269	430
385	269	428
386	269	427
387	270	426
388	270	424
389	270	423
390	271	422
391	271	420
392	271	419
393	271	418
394	272	416
395	272	415
396	272	414
397	272	412
398	273	411
399	273	410
400	273	409
401	274	407
402	274	406
403	274	405
404	274	403
405	275	402
406	275	401
407	275	399
408	275	398
409	276	397
410	276	396
411	276	395
412	277	393
413	277	392
414	277	391
415	278	390
416	278	389
417	278	387
418	278	386
419	279	385
420	279	384
421	279	383
422	279	381
423	280	380
424	280	379
425	280	378
426	281	377
427	281	375
428	281	374
429	281	373
430	282	372
431	282	371
432	282	370
433	282	368
434	283	367
435	283	366
436	283	365
437	284	364
438	284	363
439	284	362
440	284	361
441	285	360
442	285	358
443	285	357
444	285	356
445	286	355
446	286	354
447	286	353
448	287	352
449	287	351
450	287	350
451	287	349
452	288	347
453	288	346
454	288	345
455	288	344
456	289	343
457	289	342
458	289	341
459	290	340
460	290	339
461	290	338
462	291	337
463	291	336
464	291	335
465	291	334
466	292	333
467	292	332
468	292	331
469	293	330
470	293	329
471	293	328
472	293	327
473	294	326
474	294	325
475	294	324
476	294	323
477	295	322
478	295	321
479	295	320
480	295	319
481	296	318
482	296	317
483	296	316
484	296	315
485	297	314
486	297	313
487	297	312
488	297	311
489	298	310
490	298	309
491	298	308
492	298	307
493	299	306
494	299	305
495	299	304
496	299	303
497	300	302
498	300	301
499	300	300
500	300	299
501	301	298
502	301	297
503	301	296
504	301	295
505	302	294
506	302	293
507	302	292
508	302	292
509	303	291
510	303	290
511	303	289
512	303	288
513	304	287
514	304	286
515	304	285
516	304	284
517	305	283
518	305	282
519	305	282
520	305	281
521	306	280
522	306	279
523	306	278
524	306	277
525	307	276
526	307	276
527	307	275
528	308	274
529	308	273
530	308	272
531	309	271
532	309	271
533	309	270
534	310	269
535	310	268
536	310	267
537	310	266
538	311	266
539	311	265
540	311	264
541	312	263
542	312	262
543	312	262
544	312	261
545	313	260
546	313	259
547	313	258
548	314	257
549	314	257
550	314	256
551	314	255
552	315	254
553	315	253
554	315	253
555	316	252
556	316	251
557	316	250
558	316	249
559	317	249
560	317	248
561	317	247
562	317	246
563	318	245
564	318	245
565	318	244
566	318	243
567	319	242
568	319	241
569	319	241
570	320	240
571	320	239
572	320	238
573	321	238
574	321	237
575	321	236
576	321	236
577	322	235
578	322	234
579	322	233
580	323	233
581	323	232
582	323	231
583	323	230
584	324	229
585	324	229
586	324	228
587	325	227
588	325	227
589	325	226
590	325	225
591	326	224
592	326	224
593	326	223
594	326	222
595	327	221
596	327	221
597	327	220
598	328	219
599	328	218
600	328	218
601	329	217
602	329	216
603	329	216
604	329	215
605	330	214
606	330	213
607	330	213
608	330	212
609	331	211
610	331	210
611	331	210
612	331	209
613	332	208
614	332	208
615	332	207
616	332	206
617	333	205
618	333	205
619	333	204
620	333	203
621	334	202
622	334	202
623	334	201
624	334	200
625	335	200
626	335	199
627	335	198
628	335	198
629	336	197
630	336	196
631	336	196
632	336	195
633	337	194
634	337	193
635	337	193
636	337	192
637	338	191
638	338	191
639	338	190
640	339	189
641	339	189
642	339	188
643	339	187
644	340	187
645	340	186
646	340	185
647	340	185
648	341	184
649	341	183
650	341	183
651	342	182
652	342	181
653	342	181
654	343	180
655	343	180
656	343	179
657	343	178
658	344	178
659	344	177
660	344	176
661	345	176
662	345	175
663	345	174
664	345	174
665	346	173
666	346	172
667	346	172
668	347	171
669	347	171
670	347	170
671	347	169
672	348	169
673	348	168
674	348	167
675	349	167
676	349	166
677	349	166
678	349	165
679	350	164
680	350	164
681	350	163
682	351	162
683	351	162
684	351	161
685	351	161
686	352	160
687	352	159
688	352	159
689	353	158
690	353	157
691	353	157
692	353	156
693	354	156
694	354	155
695	354	155
696	355	154
697	355	153
698	355	153
699	356	152
700	356	152
701	356	151
702	357	150
703	357	150
704	357	149
705	357	149
706	358	148
707	358	147
708	358	147
709	358	146
710	359	145
711	359	145
712	359	144
713	359	144
714	360	143
715	360	142
716	360	142
717	360	141
718	361	141
719	361	140
720	361	139
721	361	139
722	362	138
723	362	138
724	362	137
725	363	137
726	363	136
727	363	135
728	363	135
729	364	134
730	364	134
731	364	133
732	364	132
733	365	132
734	365	131
735	365	131
736	366	130
737	366	130
738	366	129
739	366	128
740	367	128
741	367	127
742	367	127
743	368	126
744	368	126
745	368	125
746	368	124
747	369	124
748	369	123
749	369	123
750	370	122
751	370	122
752	370	121
753	370	121
754	371	120
755	371	119
756	371	119
757	372	118
758	372	118
759	372	117
760	372	117
761	373	116
762	373	115
763	373	115
764	373	114
765	374	114
766	374	113
767	374	113
768	375	112
769	375	112
770	375	111
771	375	110
772	375	110
773	376	109
774	376	109
775	376	108
776	376	108
777	377	107
778	377	107
779	377	106
780	378	106
781	378	105
782	378	104
783	378	104
784	379	103
785	379	103
786	379	102
787	380	102
788	380	101
789	380	101
790	381	100
791	381	100
792	381	99
793	382	99
794	382	98
795	382	98
796	382	97
797	383	97
798	383	96
799	383	95
800	384	95
801	384	94
802	384	94
803	384	93
804	385	93
805	385	92
806	385	92
807	386	91
808	386	91
809	386	90
810	386	90
811	387	89
812	387	89
813	387	88
814	387	88
815	388	87
816	388	86
817	388	86
818	388	85
819	389	85
820	389	84
821	389	84
822	389	83
823	390	83
824	390	82
825	390	82
826	391	81
827	391	81
828	391	80
829	391	80
830	392	79
831	392	79
832	392	78
833	393	78
834	393	77
835	393	77
836	394	76
837	394	76
838	394	75
839	394	75
840	395	74
841	395	74
842	395	73
843	396	73
844	396	72
845	396	72
846	397	71
847	397	71
848	397	70
849	397	70
850	398	69
851	398	69
852	398	68
853	399	68
854	399	67
855	399	67
856	399	66
857	400	66
858	400	65
859	401	65
860	401	64
861	401	64
862	401	63
863	401	63
864	402	62
865	402	62
866	402	61
867	402	61
868	403	60
869	403	60
870	403	59
871	403	59
872	404	58
873	404	58
874	404	57
875	404	57
876	405	56
877	405	56
878	405	55
879	405	55
880	406	54
881	406	54
882	406	53
883	406	53
884	407	52
885	407	52
886	407	51
887	407	51
888	408	50
889	408	50
890	408	49
891	408	49
892	409	49
893	409	48
894	409	48
895	409	47
896	410	47
897	410	46
898	410	46
899	411	45
900	411	45
901	411	44
902	412	44
903	412	43
904	412	43
905	412	42
906	413	42
907	413	41
908	413	41
909	414	40
910	414	40
911	414	40
912	414	39
913	415	39
914	415	38
915	415	38
916	415	37
917	416	37
918	416	36
919	416	36
920	417	35
921	417	35
922	417	34
923	417	34
924	418	33
925	418	33
926	418	32
927	419	32
928	419	32
929	419	31
930	419	31
931	419	30
932	420	30
933	420	29
934	420	29
935	421	28
936	421	28
937	421	27
938	421	27
939	422	26
940	422	26
941	422	26
942	422	25
943	423	25
944	423	24
945	423	24
946	424	23
947	424	23
948	424	22
949	425	22
950	425	21
951	425	21
952	425	21
953	426	20
954	426	20
955	426	19
956	427	19
957	427	18
958	427	18
959	427	17
960	428	17
961	428	16
962	428	16
963	429	16
964	429	15
965	429	15
966	429	14
967	430	14
968	430	13
969	430	13
970	430	12
971	431	12
972	431	11
973	431	11
974	431	11
975	432	10
976	432	10
977	432	9
978	433	9
979	433	8
980	433	8
981	434	7
982	434	7
983	434	7
984	435	6
985	435	6
986	435	5
987	436	5
988	436	4
989	436	4
990	437	3
991	437	3
992	437	3
993	438	2
994	438	2
995	438	1
996	438	1
997	439	0
998	439	0
999	439	0
